INDEX,NAME,URL,REVIEW,Address,Location,Column1,Price,Cuisine,Longitude,Latitude,PhoneNumber,Url2,WebsiteUrl,Award,FacilitiesAndServices
626,Oteque,https://guide.michelin.com/en/rio-de-janeiro-region/rio-de-janeiro/restaurant/oteque,"The surprises here begin at the entrance, since nothing gives the impression that hidden behind its discreet front door is this temple of Rio gastronomy. The attractive dining room boasts high ceilings and an informal atmosphere with a modern-industrial feel. Extraordinary chef Alberto Landgraf transports guests to a world of highly precise culinary sensations based around his consistent use of the region’s very best fish and seafood. His delicate dishes showcase a skilful fusion of ingredients and flavours. (Last update: September 2020).","Rua Conde de Irajá 581, Rio de Janeiro, 22271-020, Brazil",Rio de Janeiro, Brazil,,Modern Cuisine,-43.194424,-22.95747,5.52135E+11,https://guide.michelin.com/en/rio-de-janeiro-region/rio-de-janeiro/restaurant/oteque,https://www.oteque.com/,2 MICHELIN Stars,"Air conditioning,American Express credit card,Credit card / Debit card accepted,Diners Club credit card,Mastercard credit card,Particularly interesting wine list,Visa credit card"
627,Oro,https://guide.michelin.com/en/rio-de-janeiro-region/rio-de-janeiro/restaurant/oro,"This is a restaurant that is well worth frequenting, as the partnership formed between chef Felipe Bronze and sommelier Cecilia Aldaz works to perfection due to their unmistakable chemistry and friendly approach. Here, the cuisine features a fusion of Brazilian roots and cutting-edge gastronomy, as reflected on two menus—both offering a wine pairing that pays homage to the country’s regions. The kitchen is upstairs, so diners can expect constant traffic—with servers cradling carefully balanced trays. (Last update: September 2020).","Avenida General San Martin 889, Rio de Janeiro, 22441-015, Brazil",Rio de Janeiro, Brazil,,Creative,-43.22471,-22.98601,5.52125E+11,https://guide.michelin.com/en/rio-de-janeiro-region/rio-de-janeiro/restaurant/oro,http://ororestaurante.com.br/,2 MICHELIN Stars,"Air conditioning,American Express credit card,Credit card / Debit card accepted,Mastercard credit card,Valet parking,Visa credit card"
3373,Mee,https://guide.michelin.com/en/rio-de-janeiro-region/rio-de-janeiro/restaurant/mee,"If you’re looking for a unique Asian-inspired experience, make sure you book a table at Mee, where you can enjoy pan-Asian fusion cuisine featuring the flavours of Thailand, Cambodia, Vietnam, Korea, Japan and elsewhere. Here you’ll find a sushi bar plus interesting menus, including one that is dedicated to our esteemed guide (MEEchelin)! The portraits by the Belgian artist Christian Develter, inspired by the tattooed faces of women from the Chin tribe in Myanmar, are particularly striking. (Last update: September 2020).","Avenida Atlântica 1702, Rio de Janeiro, 22021-001, Brazil",Rio de Janeiro, Brazil,,Asian Influences,-43.179147,-22.9671007,5.52125E+11,https://guide.michelin.com/en/rio-de-janeiro-region/rio-de-janeiro/restaurant/mee,https://www.belmond.com/,1 MICHELIN Star,"Air conditioning,American Express credit card,Credit card / Debit card accepted,Mastercard credit card,Notable sake list,Valet parking,Visa credit card"
3374,Cipriani,https://guide.michelin.com/en/rio-de-janeiro-region/rio-de-janeiro/restaurant/cipriani,"Located inside the ""Copa"", the city's, and perhaps Brazil's, most legendary hotel. Here, under the baton of chef Nello Cassese, discover Italian-international cuisine showcasing contemporary techniques and presentation which uses authentic Italian products in combination with locally sourced ingredients. The splendid dining room overlooks the hotel's famous pool, but if you're looking for a unique experience, we recommend booking the ""chef's table"" seating six guests in the kitchen itself. (Last update: September 2020).","Avenida Atlântica 1702, Rio de Janeiro, 22021-001, Brazil",Rio de Janeiro, Brazil,,Italian,-43.1794682,-22.9670428,5.52125E+11,https://guide.michelin.com/en/rio-de-janeiro-region/rio-de-janeiro/restaurant/cipriani,https://www.belmond.com/,1 MICHELIN Star,"Air conditioning,American Express credit card,Credit card / Debit card accepted,Diners Club credit card,Mastercard credit card,Valet parking,Visa credit card"
3380,Lasai,https://guide.michelin.com/en/rio-de-janeiro-region/rio-de-janeiro/restaurant/lasai,"Located in a historic building, this is a unique restaurant that reflects the cutting-edge aspect of Brazilian cuisine. The kitchen team is guided by the strict principles of seasonality and proximity, working with small producers who raise their own chickens and grow their own organic produce. The name “Lasai” translates to “tranquil” in Basque, and is a nod to the many years that this chef worked with Andoni Luis Aduriz at Mugaritz in Spain. Choose between two set menus: the longer “+” or the shorter “-”. (Last update: September 2020).","Rua Conde de Irajá 191, Rio de Janeiro, 22271-020, Brazil",Rio de Janeiro, Brazil,,Modern Cuisine,-43.1956041,-22.9542315,5.52134E+11,https://guide.michelin.com/en/rio-de-janeiro-region/rio-de-janeiro/restaurant/lasai,https://lasai.com.br/,1 MICHELIN Star,"Air conditioning,American Express credit card,Credit card / Debit card accepted,Diners Club credit card,Mastercard credit card,Valet parking,Visa credit card,Wheelchair access"
6768,Miam Miam,https://guide.michelin.com/en/rio-de-janeiro-region/rio-de-janeiro/restaurant/miam-miam,"A restaurant with retro furniture, colourful decor and exposed brickwork, which harks back to the past; it is, in fact, the former mansion of chef Roberta Ciasca’s grandmother. They serve comfort food and traditional Brazilian classics, which showcase contemporary cooking techniques and a demonstrate a flair for presentation. A simpler, very reasonably priced menu is available at lunchtime, accompanied by a salad buffet. (Last update: September 2020).","Rua General Góis Monteiro 34, Rio de Janeiro, 22290-080, Brazil",Rio de Janeiro, Brazil,,Modern Cuisine,-43.17993,-22.95593,5.52198E+12,https://guide.michelin.com/en/rio-de-janeiro-region/rio-de-janeiro/restaurant/miam-miam,https://www.miammiam.com.br/,Bib Gourmand,"Air conditioning,American Express credit card,Credit card / Debit card accepted,Mastercard credit card,Visa credit card"
6773,Maria e o Boi,https://guide.michelin.com/en/rio-de-janeiro-region/rio-de-janeiro/restaurant/maria-e-o-boi,"This is a pleasant and informal restaurant that specialises in meat and is located in the charming Ipanema district. Here, you can enjoy Brazilian and international cooking with an Italian flair, which is always attractively priced and accompanied by copious sides. It is renowned for its grilled items (no fewer than seven different cuts of meat) and several signatures, including the ten hour-roasted beef rib (costela minga) as well as the surprisingly delicious duck heart with garlic bread and Grana Padano. (Last update: September 2020).","Rua Maria Quitéria 111, Rio de Janeiro, 22410-040, Brazil",Rio de Janeiro, Brazil,,"Meats and Grills, International",-43.2070274,-22.9825882,5.52135E+11,https://guide.michelin.com/en/rio-de-janeiro-region/rio-de-janeiro/restaurant/maria-e-o-boi,,Bib Gourmand,"Air conditioning,American Express credit card,Credit card / Debit card accepted,Diners Club credit card,Mastercard credit card,Terrace,Valet parking,Visa credit card"
6779,Pici Trattoria,https://guide.michelin.com/en/rio-de-janeiro-region/rio-de-janeiro/restaurant/pici-trattoria,"Situated opposite the Praça Nossa Senhora da Paz, this restaurant boasts an Italian-style decor with colourful chairs and tables and windows inscribed with items from the menu. The original menu, overseen by renowned chef Elia Schramm, combines classic Italian recipes and Brazilian ingredients, resulting in a host of generous dishes which are full of flavour. Artists’ photos adorn the walls, while jazz music plays gently in the background. (Last update: September 2020).","Rua Barão da Torre 348, Rio de Janeiro, 22411-000, Brazil",Rio de Janeiro, Brazil,,Italian,-43.2052303,-22.9831234,5.52133E+11,https://guide.michelin.com/en/rio-de-janeiro-region/rio-de-janeiro/restaurant/pici-trattoria,https://picitrattoria.com.br/cardapio/,Bib Gourmand,"Air conditioning,American Express credit card,Credit card / Debit card accepted,Mastercard credit card,Visa credit card,Wheelchair access"
6785,Lilia,https://guide.michelin.com/en/rio-de-janeiro-region/rio-de-janeiro/restaurant/lilia543963,"A unique and different restaurant in which young chef Lucio Vieira demonstrates a new interpretation of hospitality. The unassuming façade, adorned with just a small poster, provides access to a steep staircase that leads guests to the upper floors with their decor of extreme simplicity. The highlight here is the updated traditional cuisine, teeming with strong flavours and always based around ingredients from the market to ensure maximum freshness and affordability. (Last update: September 2020).","Rua do Senado 45, Rio de Janeiro, 20231-005, Brazil",Rio de Janeiro, Brazil,,Brazilian,-43.1840026,-22.9091605,5.52139E+11,https://guide.michelin.com/en/rio-de-janeiro-region/rio-de-janeiro/restaurant/lilia543963,,Bib Gourmand,"Air conditioning,American Express credit card,Credit card / Debit card accepted,Diners Club credit card,Mastercard credit card,Visa credit card"
6789,Didier,https://guide.michelin.com/en/rio-de-janeiro-region/rio-de-janeiro/restaurant/didier,"Run by a friendly married couple, Didier combines both Brazilian and French roots, with the female half of the partnership front of house and her classically trained French chef-husband manning the stoves. In this bright setting, reminiscent of a winter conservatory and terrace, enjoy reasonably priced classic dishes that showcase the chef’s international training in France, the USA and Brazil. He achieves great things with a limited budget, working with seasonal products and the freshest possible fish. (Last update: September 2020).","Avenida Alexandre Ferreira 66, Rio de Janeiro, 22470-220, Brazil",Rio de Janeiro, Brazil,,French Contemporary,-43.206113,-22.9619176,5.52136E+11,https://guide.michelin.com/en/rio-de-janeiro-region/rio-de-janeiro/restaurant/didier,https://www.didierrestaurante.com.br/,Bib Gourmand,"Air conditioning,American Express credit card,Credit card / Debit card accepted,Diners Club credit card,Mastercard credit card,Visa credit card"
