INDEX,NAME,URL,REVIEW,Address,Location,Column1,Price,Cuisine,Longitude,Latitude,PhoneNumber,Url2,WebsiteUrl,Award,FacilitiesAndServices
410,Ciel Bleu,https://guide.michelin.com/en/noord-holland/amsterdam/restaurant/ciel-bleu,"Ciel Bleu immediately lives up to its name. Here, you dine on the top floor of the luxurious Okura Hotel with a spectacular view of the blue sky and the Amsterdam skyline as a backdrop. The modern elegance of the restaurant and the superlative presentation of the dishes are equally pleasing to the eye.
Arjan Speelman's cuisine is technically accomplished, creative and laced with international influences and seasonings. This chef effortlessly combines a classic beurre blanc with exotic spices and ingredients from around the globe. Every detail is precise, every bite a surprise. A nice touch: with each course, a herb in its original form is brought to the table – this herb will be featured in the next dish.
Dining at Ciel Bleu is intriguing. You will be served by one of the best front-of-house teams in the country, starring sommelier Noël Vanwittenbergh and maître d' Francesco Simonelli. The sky really is the limit here!","Ferdinand Bolstraat 333, Amsterdam, 1072 LH, Netherlands",Amsterdam, Netherlands,€€€€,Creative,4.8928264,52.3486359,3.12068E+11,https://guide.michelin.com/en/noord-holland/amsterdam/restaurant/ciel-bleu,https://www.cielbleu.nl/,2 MICHELIN Stars,"Air conditioning,American Express credit card,Car park,Credit card / Debit card accepted,Diners Club credit card,Great view,Mastercard credit card,Particularly interesting wine list,Valet parking,Visa credit card"
414,Spectrum,https://guide.michelin.com/en/noord-holland/amsterdam/restaurant/spectrum437663,"Sidney Schutte's spectrum of flavours is astonishing. At De Librije, he developed his own inventive culinary style, and at Amber (Hong Kong) he mastered the sophisticated techniques particular to Asian cuisine. His food looks as spectacular as it tastes – exciting and colourful with a unique interplay of textures.
First-class Dutch produce and international seasonings come together here in complex dishes. The technically gifted chef does not shy away from contrasts, and he is certainly an innovator rather than an imitator! This applies to his vegetarian set menu as well as to his fish and meat creations. His combination of crispy duck tongue, blue lobster and foie gras with liquorice and green apple is simply amazing. At Spectrum, every bite creates a new impression that increases the desire for more.
This typical canal house enchants visitors with its understated class and beautiful elegance. The extremely attentive service comes courtesy of the highly accomplished front-of-house team. A real fine dining experience!","Herengracht 542, Amsterdam, 1017 CG, Netherlands",Amsterdam, Netherlands,€€€€,Creative,4.89701,52.36478,31207184635,https://guide.michelin.com/en/noord-holland/amsterdam/restaurant/spectrum437663,https://www.restaurantspectrum.com/,2 MICHELIN Stars,"Air conditioning,American Express credit card,Credit card / Debit card accepted,Mastercard credit card,Particularly interesting wine list,Restaurant offering vegetarian menus,Valet parking,Visa credit card"
417,Restaurant 212,https://guide.michelin.com/en/noord-holland/amsterdam/restaurant/restaurant-212,"The open-plan kitchen has a central place in this modern restaurant where guests enjoy interacting with the chefs from the seats at the counter. Here you can watch Richard van Oostenbrugge and Thomas Groot working with delicate precision, preparing inventive and creative dishes which surprise diners with their unexpectedly striking flavours.","Amstel 212, Amsterdam, 1017 AH, Netherlands",Amsterdam, Netherlands,€€€€,Creative,4.9003151,52.365884,31203348685,https://guide.michelin.com/en/noord-holland/amsterdam/restaurant/restaurant-212,https://212.amsterdam/,2 MICHELIN Stars,"Air conditioning,American Express credit card,Credit card / Debit card accepted,Mastercard credit card,Particularly interesting wine list,Visa credit card"
424,Flore,https://guide.michelin.com/en/noord-holland/amsterdam/restaurant/flore,"Bas van Kranen showcases his culinary ideas at Flore (formerly Bord’Eau), where nature adds plenty of character to the interior and the view of the canal remains as unique as ever. This talented chef has a resolute focus on organic and local ingredients, resulting in a “conscious fine dining” concept that is clearly evident in creative and highly personal dishes. Here, original techniques, pure flavours and lots of passion combine to create a captivating spectacle!","Nieuwe Doelenstraat 2, Amsterdam, 1012 CP, Netherlands",Amsterdam, Netherlands,€€€€,Contemporary,4.89406,52.36765,31205311619,https://guide.michelin.com/en/noord-holland/amsterdam/restaurant/flore,https://restaurantflore.com/,2 MICHELIN Stars,"Air conditioning,American Express credit card,Credit card / Debit card accepted,Mastercard credit card,Restaurant offering vegetarian menus,Valet parking,Visa credit card,Wheelchair access"
2095,Sinne,https://guide.michelin.com/en/noord-holland/amsterdam/restaurant/sinne,,"Ceintuurbaan 342, Amsterdam, 1072 GP, Netherlands",Amsterdam, Netherlands,€€€,Modern Cuisine,4.8942525,52.3530586,31206827290,https://guide.michelin.com/en/noord-holland/amsterdam/restaurant/sinne,https://www.restaurantsinne.nl/,1 MICHELIN Star,"Air conditioning,American Express credit card,Credit card / Debit card accepted,Mastercard credit card,Visa credit card"
2097,RON Gastrobar,https://guide.michelin.com/en/noord-holland/amsterdam/restaurant/ron-gastrobar,"Ron Blaauw is something of a culinary mastermind. In 2013, the popular chef transformed his two-MICHELIN-starred restaurant into this down-to-earth gastrobar, and it was an instant success. This hip urban establishment offers a diverse atmosphere in which to discover chef Blaauw's relaxed fine dining concept.
Eschewing any unnecessary frills, the focus lies squarely on original combinations and distinct flavours. Here, you can enjoy simple yet imaginative cuisine that is intelligent, elaborate and bold. Think veal sweetbreads cooked in time-honoured tradition, a spicy blend of lentils, textures of pumpkin and yoghurt with lime zest for body and freshness. The dishes here are brimming with flavour.
The impressive menu features classics such as beef Wellington, vegetarian options and premium produce such as wagyu and turbot cooked on the barbecue, as well as an amazing onion Martini (with a Comté foam). You will likely want to order the lot! At Ron Gastrobar, the flavours of the Amsterdam metropolis come alive.","Sophialaan 55, Amsterdam, 1075 BP, Netherlands",Amsterdam, Netherlands,€€€,Creative French,4.8566529,52.3522317,31204961943,https://guide.michelin.com/en/noord-holland/amsterdam/restaurant/ron-gastrobar,https://rongastrobar.nl/,1 MICHELIN Star,"Air conditioning,American Express credit card,Counter dining,Credit card / Debit card accepted,Mastercard credit card,Restaurant offering vegetarian menus,Terrace,Visa credit card"
2100,Bolenius,https://guide.michelin.com/en/noord-holland/amsterdam/restaurant/bolenius,"Luc Kusters is an ambassador of Dutch cuisine who lays the focus squarely on vegetables and local produce. On a daily basis, he harvests delicious produce from his kitchen garden, located close to the restaurant in the Zuidas business district! Bolenius's elegant minimalist style and urban vibe reflect the purity of the cuisine. The ethos behind this sustainable vision is regularly explained when the kitchen team serve their dishes themselves.
The head chef's ingenuity comes to the fore in the stunning presentation and flavour combinations of his dishes. His cuisine is light but brimming with intensity. He prefers to express himself with vegetables and herbs – beetroot grown in clay soil with morels is a signature dish for good reason – but he also works with meat and fish, eg Dutch Kamper lamb or pike-perch from the North Sea. Whether you opt for his plant-based set menu or the ""Dutch Menu"" (also available à la carte), the versatility and nuances he draws out of treasures from Dutch soil is uncommonly captivating: aromatic cauliflower, green peppers and textures of buckwheat with a clear broth that brings everything together and adds depth. The way chef Kusters turns 'simplicity' into memorable cuisine is truly remarkable.","George Gershwinlaan 30, Amsterdam, 1082 MT, Netherlands",Amsterdam, Netherlands,€€€€,Creative,4.873797,52.3361146,31204044411,https://guide.michelin.com/en/noord-holland/amsterdam/restaurant/bolenius,https://bolenius-restaurant.nl/,1 MICHELIN Star,"American Express credit card,Credit card / Debit card accepted,Mastercard credit card,Particularly interesting wine list,Restaurant offering vegetarian menus,Terrace,Visa credit card"
2113,Yamazato,https://guide.michelin.com/en/noord-holland/amsterdam/restaurant/yamazato115431,,"Ferdinand Bolstraat 333, Amsterdam, 1072 LH, Netherlands",Amsterdam, Netherlands,€€€€,Japanese,4.8928801,52.3486674,31206787450,https://guide.michelin.com/en/noord-holland/amsterdam/restaurant/yamazato115431,https://www.okura.nl/dine-and-drink/yamazato-restaurant/,1 MICHELIN Star,"Air conditioning,American Express credit card,Car park,Credit card / Debit card accepted,Diners Club credit card,Mastercard credit card,Particularly interesting wine list,Valet parking,Visa credit card"
2117,RIJKS®,https://guide.michelin.com/en/noord-holland/amsterdam/restaurant/rijks%C2%AE,,"Museumstraat 2, Amsterdam, 1077 XX, Netherlands",Amsterdam, Netherlands,€€€,"Creative, Modern French",4.8842483,52.3595621,31206747555,https://guide.michelin.com/en/noord-holland/amsterdam/restaurant/rijks%C2%AE,https://www.rijksrestaurant.nl/,1 MICHELIN Star,"American Express credit card,Credit card / Debit card accepted,Mastercard credit card,Restaurant offering vegetarian menus,Terrace,Visa credit card,Wheelchair access"
2121,Lastage,https://guide.michelin.com/en/noord-holland/amsterdam/restaurant/lastage,"Lastage is an appealing little restaurant which will immediately make you feel welcome. Chef Van Dam delights the taste buds with dishes that are full of personality. Nothing on the plate is unnecessary – every ingredient adds interest and is there to enhance the dish. For the quality, the prices are more than reasonable. This is a little establishment with big flavours!","Geldersekade 29, Amsterdam, 1011 EJ, Netherlands",Amsterdam, Netherlands,€€€,Creative,4.9022565,52.3753865,31207370811,https://guide.michelin.com/en/noord-holland/amsterdam/restaurant/lastage,https://restaurantlastage.nl/,1 MICHELIN Star,"Air conditioning,Credit card / Debit card accepted,Mastercard credit card,Visa credit card"
